Fiscal Year,County,Region,Clients,Service Stages
2019,Brooks,11-Edinburg,17,17
2019,Cameron,11-Edinburg,727,731
2019,Duval,11-Edinburg,13,13
2019,Hidalgo,11-Edinburg,1240,1253
2019,Jim Hogg,11-Edinburg,6,6
2019,Jim Wells,11-Edinburg,60,60
2019,Kleberg,11-Edinburg,53,55
2019,Live Oak,11-Edinburg,25,27
2019,Nueces,11-Edinburg,730,743
2019,Refugio,11-Edinburg,11,12
2019,San Patricio,11-Edinburg,132,132
2019,Starr,11-Edinburg,81,81
2019,Webb,11-Edinburg,221,223
2019,Willacy,11-Edinburg,55,55
2019,Zapata,11-Edinburg,26,26
2019,Out of State,Out of State,8,8
2018,Armstrong,1-Lubbock,4,4
2018,Bailey,1-Lubbock,17,17
2018,Briscoe,1-Lubbock,2,2
2018,Carson,1-Lubbock,10,10
2018,Castro,1-Lubbock,8,8
2018,Childress,1-Lubbock,18,18
2018,Cochran,1-Lubbock,37,37
2018,Collingsworth,1-Lubbock,4,4
2018,Crosby,1-Lubbock,24,24
2018,Dallam,1-Lubbock,15,16
2018,Deaf Smith,1-Lubbock,35,35
2018,Dickens,1-Lubbock,17,18
2018,Donley,1-Lubbock,12,12
2018,Floyd,1-Lubbock,24,25
2018,Garza,1-Lubbock,32,32
2018,Gray,1-Lubbock,62,63
2018,Hale,1-Lubbock,99,100
2018,Hall,1-Lubbock,5,5
2018,Hansford,1-Lubbock,9,9
2018,Hartley,1-Lubbock,4,4
2018,Hemphill,1-Lubbock,5,5
2018,Hockley,1-Lubbock,73,79
2018,Hutchinson,1-Lubbock,71,71
2018,Lamb,1-Lubbock,77,82
2018,Lipscomb,1-Lubbock,6,6
2018,Lubbock,1-Lubbock,1081,1131
2018,Lynn,1-Lubbock,33,38
2018,Moore,1-Lubbock,56,56
2018,Motley,1-Lubbock,11,11
2018,Ochiltree,1-Lubbock,19,19
2018,Oldham,1-Lubbock,1,1
2018,Parmer,1-Lubbock,9,9
2018,Potter,1-Lubbock,450,456
2018,Randall,1-Lubbock,204,205
2018,Sherman,1-Lubbock,6,6
2018,Swisher,1-Lubbock,32,32
2018,Terry,1-Lubbock,90,95
2018,Wheeler,1-Lubbock,13,13
2018,Yoakum,1-Lubbock,9,9
2018,Archer,2-Abilene,38,39
2018,Baylor,2-Abilene,21,21
2018,Brown,2-Abilene,131,133
2018,Callahan,2-Abilene,46,46
2018,Clay,2-Abilene,54,54
2018,Coleman,2-Abilene,28,29
2018,Comanche,2-Abilene,38,39
2018,Cottle,2-Abilene,6,6
2018,Eastland,2-Abilene,52,53
2018,Fisher,2-Abilene,10,10
2018,Foard,2-Abilene,11,11
2018,Hardeman,2-Abilene,25,25
2018,Haskell,2-Abilene,17,18
2018,Jack,2-Abilene,36,37
2018,Jones,2-Abilene,35,36
2018,Knox,2-Abilene,14,14
2018,Mitchell,2-Abilene,17,17
2018,Montague,2-Abilene,100,103
2018,Nolan,2-Abilene,56,57
2018,Runnels,2-Abilene,34,35
2018,Scurry,2-Abilene,36,36
2018,Shackelford,2-Abilene,6,6
2018,Stephens,2-Abilene,24,24
2018,Stonewall,2-Abilene,3,3
2018,Taylor,2-Abilene,550,571
2018,Throckmorton,2-Abilene,3,3
2018,Wichita,2-Abilene,808,826
2018,Wilbarger,2-Abilene,95,95
2018,Young,2-Abilene,68,70
2018,Collin,3-Arlington,193,193
2018,Cooke,3-Arlington,68,69
2018,Dallas,3-Arlington,1481,1496
2018,Denton,3-Arlington,520,523
2018,Ellis,3-Arlington,34,34
2018,Erath,3-Arlington,18,18
2018,Fannin,3-Arlington,72,73
2018,Grayson,3-Arlington,307,311
2018,Hood,3-Arlington,30,30
2018,Hunt,3-Arlington,131,132
2018,Johnson,3-Arlington,92,92
2018,Kaufman,3-Arlington,110,111
2018,Navarro,3-Arlington,50,50
2018,Palo Pinto,3-Arlington,24,25
2018,Parker,3-Arlington,50,51
2018,Rockwall,3-Arlington,35,36
2018,Somervell,3-Arlington,2,2
2018,Tarrant,3-Arlington,1623,1649
2018,Wise,3-Arlington,70,71
2018,Anderson,4-Tyler,97,97
2018,Bowie,4-Tyler,171,172
2018,Camp,4-Tyler,34,35
2018,Cass,4-Tyler,63,64
2018,Cherokee,4-Tyler,149,150
2018,Delta,4-Tyler,9,9
2018,Franklin,4-Tyler,25,26
2018,Gregg,4-Tyler,92,93
2018,Harrison,4-Tyler,55,55
2018,Henderson,4-Tyler,255,262
2018,Hopkins,4-Tyler,77,81
2018,Lamar,4-Tyler,130,134
2018,Marion,4-Tyler,15,15
2018,Morris,4-Tyler,24,24
2018,Panola,4-Tyler,40,40
2018,Rains,4-Tyler,34,34
2018,Red River,4-Tyler,24,26
2018,Rusk,4-Tyler,92,92
2018,Smith,4-Tyler,497,505
2018,Titus,4-Tyler,20,21
2018,Upshur,4-Tyler,67,68
2018,Van Zandt,4-Tyler,112,113
2018,Wood,4-Tyler,134,136
2018,Angelina,5-Beaumont,257,262
2018,Hardin,5-Beaumont,67,68
2018,Houston,5-Beaumont,90,90
2018,Jasper,5-Beaumont,83,84
2018,Jefferson,5-Beaumont,642,648
2018,Nacogdoches,5-Beaumont,246,251
2018,Newton,5-Beaumont,30,31
2018,Orange,5-Beaumont,171,172
2018,Polk,5-Beaumont,156,158
2018,Sabine,5-Beaumont,31,32
2018,San Augustine,5-Beaumont,43,44
2018,San Jacinto,5-Beaumont,110,111
2018,Shelby,5-Beaumont,134,138
2018,Trinity,5-Beaumont,59,59
2018,Tyler,5-Beaumont,39,39
2018,Austin,6-Houston,43,44
2018,Brazoria,6-Houston,325,327
2018,Chambers,6-Houston,51,51
2018,Colorado,6-Houston,50,50
2018,Fort Bend,6-Houston,438,443
2018,Galveston,6-Houston,473,478
2018,Harris,6-Houston,5379,5431
2018,Liberty,6-Houston,202,207
2018,Matagorda,6-Houston,48,49
2018,Montgomery,6-Houston,628,636
2018,Walker,6-Houston,104,104
2018,Waller,6-Houston,61,61
2018,Wharton,6-Houston,68,69
2018,Bastrop,7-Austin,77,78
2018,Bell,7-Austin,311,317
2018,Blanco,7-Austin,5,5
2018,Bosque,7-Austin,28,28
2018,Brazos,7-Austin,175,175
2018,Burleson,7-Austin,38,38
2018,Burnet,7-Austin,49,49
2018,Caldwell,7-Austin,35,35
2018,Coryell,7-Austin,84,84
2018,Falls,7-Austin,69,71
2018,Fayette,7-Austin,13,13
2018,Freestone,7-Austin,36,36
2018,Grimes,7-Austin,45,45
2018,Hamilton,7-Austin,12,12
2018,Hays,7-Austin,75,78
2018,Hill,7-Austin,60,60
2018,Lampasas,7-Austin,27,28
2018,Lee,7-Austin,14,14
2018,Leon,7-Austin,23,23
2018,Limestone,7-Austin,43,43
2018,Llano,7-Austin,24,24
2018,Madison,7-Austin,13,13
2018,McLennan,7-Austin,347,349
2018,Milam,7-Austin,31,31
2018,Mills,7-Austin,8,8
2018,Robertson,7-Austin,37,37
2018,San Saba,7-Austin,8,8
2018,Travis,7-Austin,571,574
2018,Washington,7-Austin,35,36
2018,Williamson,7-Austin,240,242
2018,Atascosa,8-San Antonio,110,112
2018,Bandera,8-San Antonio,51,51
2018,Bexar,8-San Antonio,3441,3482
2018,Calhoun,8-San Antonio,47,49
2018,Comal,8-San Antonio,172,174
2018,DeWitt,8-San Antonio,25,25
2018,Dimmit,8-San Antonio,14,14
2018,Edwards,8-San Antonio,3,3
2018,Frio,8-San Antonio,14,14
2018,Gillespie,8-San Antonio,63,63
2018,Goliad,8-San Antonio,17,17
2018,Gonzales,8-San Antonio,13,13
2018,Guadalupe,8-San Antonio,161,165
2018,Jackson,8-San Antonio,37,37
2018,Karnes,8-San Antonio,22,22
2018,Kendall,8-San Antonio,55,55
2018,Kerr,8-San Antonio,200,202
2018,Kinney,8-San Antonio,6,6
2018,La Salle,8-San Antonio,8,8
2018,Lavaca,8-San Antonio,18,18
2018,Maverick,8-San Antonio,41,42
2018,Medina,8-San Antonio,71,73
2018,Real,8-San Antonio,10,10
2018,Uvalde,8-San Antonio,34,36
2018,Val Verde,8-San Antonio,19,19
2018,Victoria,8-San Antonio,208,208
2018,Wilson,8-San Antonio,80,80
2018,Zavala,8-San Antonio,10,10
2018,Andrews,9-Midland,16,16
2018,Coke,9-Midland,13,13
2018,Concho,9-Midland,10,10
2018,Crane,9-Midland,11,11
2018,Crockett,9-Midland,6,6
2018,Dawson,9-Midland,48,51
2018,Ector,9-Midland,161,162
2018,Gaines,9-Midland,26,29
2018,Howard,9-Midland,85,88
2018,Irion,9-Midland,2,2
2018,Kimble,9-Midland,19,19
2018,Martin,9-Midland,4,4
2018,Mason,9-Midland,5,5
2018,McCulloch,9-Midland,49,50
2018,Menard,9-Midland,8,8
2018,Midland,9-Midland,135,136
2018,Pecos,9-Midland,43,44
2018,Reagan,9-Midland,5,5
2018,Reeves,9-Midland,18,18
2018,Schleicher,9-Midland,5,6
2018,Sutton,9-Midland,3,3
2018,Terrell,9-Midland,3,3
2018,Tom Green,9-Midland,529,541
2018,Upton,9-Midland,7,7
2018,Ward,9-Midland,31,31
2018,Winkler,9-Midland,4,4
2018,Brewster,10-El Paso,28,28
2018,Culberson,10-El Paso,10,10
2018,El Paso,10-El Paso,860,863
2018,Hudspeth,10-El Paso,6,6
2018,Jeff Davis,10-El Paso,2,2
2018,Presidio,10-El Paso,23,23
2018,Aransas,11-Edinburg,74,75
2018,Bee,11-Edinburg,79,81
2018,Brooks,11-Edinburg,18,18
2018,Cameron,11-Edinburg,529,530
2018,Duval,11-Edinburg,19,19
2018,Hidalgo,11-Edinburg,916,921
2018,Jim Hogg,11-Edinburg,7,7
2018,Jim Wells,11-Edinburg,86,86
2018,Kenedy,11-Edinburg,1,1
2018,Kleberg,11-Edinburg,52,52
2018,Live Oak,11-Edinburg,32,32
2018,McMullen,11-Edinburg,1,1
2018,Nueces,11-Edinburg,688,691
2018,Refugio,11-Edinburg,19,19
2018,San Patricio,11-Edinburg,134,134
2018,Starr,11-Edinburg,84,86
2018,Webb,11-Edinburg,225,227
2018,Willacy,11-Edinburg,38,38
2018,Zapata,11-Edinburg,23,23
2018,Out of State,Out of State,19,19
2017,Armstrong,1-Lubbock,1,1
2017,Bailey,1-Lubbock,36,38
2017,Carson,1-Lubbock,9,9
2017,Castro,1-Lubbock,12,12
2017,Childress,1-Lubbock,27,27
2017,Cochran,1-Lubbock,59,63
2017,Collingsworth,1-Lubbock,12,12
2017,Crosby,1-Lubbock,25,25
2017,Dallam,1-Lubbock,6,6
2017,Deaf Smith,1-Lubbock,31,32
2017,Dickens,1-Lubbock,3,3
2017,Donley,1-Lubbock,20,20
2017,Floyd,1-Lubbock,19,19
2017,Garza,1-Lubbock,22,24
2017,Gray,1-Lubbock,52,52
2017,Hale,1-Lubbock,83,84
2017,Hall,1-Lubbock,16,16
2017,Hansford,1-Lubbock,1,1
2017,Hockley,1-Lubbock,70,70
2017,Hutchinson,1-Lubbock,66,66
2017,Lamb,1-Lubbock,102,104
2017,Lubbock,1-Lubbock,1188,1233
2017,Lynn,1-Lubbock,17,17
2017,Moore,1-Lubbock,36,36
2017,Motley,1-Lubbock,7,7
2017,Ochiltree,1-Lubbock,12,12
2017,Parmer,1-Lubbock,14,14
2017,Potter,1-Lubbock,451,459
2017,Randall,1-Lubbock,203,204
2017,Roberts,1-Lubbock,1,1
2017,Sherman,1-Lubbock,3,3
2017,Swisher,1-Lubbock,20,20
2017,Terry,1-Lubbock,135,148
2017,Wheeler,1-Lubbock,11,11
2017,Yoakum,1-Lubbock,11,11
2017,Archer,2-Abilene,38,38
2017,Baylor,2-Abilene,17,17
2017,Brown,2-Abilene,126,128
2017,Callahan,2-Abilene,49,49
2017,Clay,2-Abilene,50,50
2017,Coleman,2-Abilene,47,47
2017,Comanche,2-Abilene,44,44
2017,Cottle,2-Abilene,11,11
2017,Eastland,2-Abilene,75,75
2017,Fisher,2-Abilene,11,12
2017,Foard,2-Abilene,13,13
2017,Hardeman,2-Abilene,16,16
2017,Haskell,2-Abilene,21,21
2017,Jack,2-Abilene,32,33
2017,Jones,2-Abilene,31,31
2017,Knox,2-Abilene,16,16
2017,Mitchell,2-Abilene,18,18
2017,Montague,2-Abilene,93,93
2017,Nolan,2-Abilene,53,55
2017,Runnels,2-Abilene,40,41
2017,Scurry,2-Abilene,32,35
2017,Shackelford,2-Abilene,8,9
2017,Stephens,2-Abilene,34,36
2017,Stonewall,2-Abilene,4,4
2017,Taylor,2-Abilene,640,650
2017,Throckmorton,2-Abilene,1,1
2017,Wichita,2-Abilene,846,857
2017,Wilbarger,2-Abilene,87,88
2017,Young,2-Abilene,120,122
2017,Collin,3-Arlington,301,304
2017,Cooke,3-Arlington,51,51
2017,Dallas,3-Arlington,1768,1773
2017,Denton,3-Arlington,366,367
2017,Ellis,3-Arlington,98,98
2017,Erath,3-Arlington,26,27
2017,Fannin,3-Arlington,94,95
2017,Grayson,3-Arlington,297,303
2017,Hood,3-Arlington,54,54
2017,Hunt,3-Arlington,188,189
2017,Johnson,3-Arlington,121,121
2017,Kaufman,3-Arlington,135,137
2017,Navarro,3-Arlington,96,97
2017,Palo Pinto,3-Arlington,41,41
2017,Parker,3-Arlington,131,132
2017,Rockwall,3-Arlington,39,39
2017,Somervell,3-Arlington,4,4
2017,Tarrant,3-Arlington,1538,1553
2017,Wise,3-Arlington,102,102
2017,Anderson,4-Tyler,121,126
2017,Bowie,4-Tyler,120,123
2017,Camp,4-Tyler,37,37
2017,Cass,4-Tyler,46,47
2017,Cherokee,4-Tyler,178,182
2017,Delta,4-Tyler,16,16
2017,Franklin,4-Tyler,20,21
2017,Gregg,4-Tyler,105,105
2017,Harrison,4-Tyler,59,59
2017,Henderson,4-Tyler,284,291
2017,Hopkins,4-Tyler,98,102
2017,Lamar,4-Tyler,135,137
2017,Marion,4-Tyler,17,18
2017,Morris,4-Tyler,43,43
2017,Panola,4-Tyler,54,54
2017,Rains,4-Tyler,27,27
2017,Red River,4-Tyler,37,39
2017,Rusk,4-Tyler,90,92
2017,Smith,4-Tyler,530,540
2017,Titus,4-Tyler,46,49
2017,Upshur,4-Tyler,72,73
2017,Van Zandt,4-Tyler,113,114
2017,Wood,4-Tyler,102,102
2017,Angelina,5-Beaumont,241,247
2017,Hardin,5-Beaumont,91,92
2017,Houston,5-Beaumont,98,100
2017,Jasper,5-Beaumont,104,104
2017,Jefferson,5-Beaumont,671,676
2017,Nacogdoches,5-Beaumont,221,228
2017,Newton,5-Beaumont,37,37
2017,Orange,5-Beaumont,184,184
2017,Polk,5-Beaumont,158,161
2017,Sabine,5-Beaumont,27,27
2017,San Augustine,5-Beaumont,50,52
2017,San Jacinto,5-Beaumont,104,104
2017,Shelby,5-Beaumont,99,102
2017,Trinity,5-Beaumont,94,96
2017,Tyler,5-Beaumont,53,54
2017,Austin,6-Houston,52,52
2017,Brazoria,6-Houston,346,348
2017,Chambers,6-Houston,70,70
2017,Colorado,6-Houston,39,39
2017,Fort Bend,6-Houston,374,374
2017,Galveston,6-Houston,491,493
2017,Harris,6-Houston,6071,6142
2017,Liberty,6-Houston,289,293
2017,Matagorda,6-Houston,96,97
2017,Montgomery,6-Houston,771,774
2017,Walker,6-Houston,112,113
2017,Waller,6-Houston,66,67
2017,Wharton,6-Houston,85,85
2017,Bastrop,7-Austin,39,39
2017,Bell,7-Austin,380,383
2017,Blanco,7-Austin,7,7
2017,Bosque,7-Austin,12,12
2017,Brazos,7-Austin,153,153
2017,Burleson,7-Austin,27,27
2017,Burnet,7-Austin,52,52
2017,Caldwell,7-Austin,56,56
2017,Coryell,7-Austin,38,38
2017,Falls,7-Austin,55,55
2017,Fayette,7-Austin,12,12
2017,Freestone,7-Austin,26,26
2017,Grimes,7-Austin,41,41
2017,Hamilton,7-Austin,7,7
2017,Hays,7-Austin,96,96
2017,Hill,7-Austin,64,64
2017,Lampasas,7-Austin,11,11
2017,Lee,7-Austin,10,10
2017,Leon,7-Austin,22,22
2017,Limestone,7-Austin,43,43
2017,Llano,7-Austin,33,33
2017,Madison,7-Austin,8,8
2017,McLennan,7-Austin,200,200
2017,Milam,7-Austin,38,38
2017,Mills,7-Austin,5,5
2017,Robertson,7-Austin,34,34
2017,San Saba,7-Austin,7,7
2017,Travis,7-Austin,798,800
2017,Washington,7-Austin,15,15
2017,Williamson,7-Austin,216,216
2017,Atascosa,8-San Antonio,65,65
2017,Bandera,8-San Antonio,45,45
2017,Bexar,8-San Antonio,3273,3298
2017,Calhoun,8-San Antonio,38,38
2017,Comal,8-San Antonio,146,147
2017,DeWitt,8-San Antonio,17,18
2017,Dimmit,8-San Antonio,17,17
2017,Frio,8-San Antonio,8,8
2017,Gillespie,8-San Antonio,44,44
2017,Goliad,8-San Antonio,11,11
2017,Gonzales,8-San Antonio,17,17
2017,Guadalupe,8-San Antonio,151,153
2017,Jackson,8-San Antonio,22,22
2017,Karnes,8-San Antonio,18,18
2017,Kendall,8-San Antonio,39,40
2017,Kerr,8-San Antonio,146,147
2017,La Salle,8-San Antonio,10,10
2017,Lavaca,8-San Antonio,13,13
2017,Maverick,8-San Antonio,48,50
2017,Medina,8-San Antonio,86,87
2017,Real,8-San Antonio,15,15
2017,Uvalde,8-San Antonio,15,15
2017,Val Verde,8-San Antonio,16,16
2017,Victoria,8-San Antonio,154,154
2017,Wilson,8-San Antonio,51,52
2017,Zavala,8-San Antonio,11,12
2017,Andrews,9-Midland,5,5
2017,Coke,9-Midland,8,8
2017,Concho,9-Midland,12,12
2017,Crane,9-Midland,8,8
2017,Crockett,9-Midland,10,10
2017,Dawson,9-Midland,28,29
2017,Ector,9-Midland,234,237
2017,Gaines,9-Midland,19,19
2017,Howard,9-Midland,66,68
2017,Irion,9-Midland,1,1
2017,Kimble,9-Midland,18,18
2017,Martin,9-Midland,10,11
2017,Mason,9-Midland,12,12
2017,McCulloch,9-Midland,41,43
2017,Menard,9-Midland,12,12
2017,Midland,9-Midland,172,172
2017,Pecos,9-Midland,35,35
2017,Reagan,9-Midland,3,3
2017,Reeves,9-Midland,16,16
2017,Schleicher,9-Midland,4,4
2017,Sterling,9-Midland,1,1
2017,Sutton,9-Midland,14,14
2017,Terrell,9-Midland,1,1
2017,Tom Green,9-Midland,648,657
2017,Upton,9-Midland,13,13
2017,Ward,9-Midland,24,24
2017,Winkler,9-Midland,15,15
2017,Brewster,10-El Paso,38,39
2017,Culberson,10-El Paso,9,9
2017,El Paso,10-El Paso,1074,1080
2017,Hudspeth,10-El Paso,4,4
2017,Jeff Davis,10-El Paso,2,2
2017,Presidio,10-El Paso,15,15
2017,Aransas,11-Edinburg,62,62
2017,Bee,11-Edinburg,88,89
2017,Brooks,11-Edinburg,14,14
2017,Cameron,11-Edinburg,641,642
2017,Duval,11-Edinburg,30,30
2017,Hidalgo,11-Edinburg,853,862
2017,Jim Hogg,11-Edinburg,9,9
2017,Jim Wells,11-Edinburg,79,79
2017,Kleberg,11-Edinburg,57,57
2017,Live Oak,11-Edinburg,24,24
2017,McMullen,11-Edinburg,2,2
2017,Nueces,11-Edinburg,758,761
2017,Refugio,11-Edinburg,15,15
2017,San Patricio,11-Edinburg,139,139
2017,Starr,11-Edinburg,72,73
2017,Webb,11-Edinburg,151,154
2017,Willacy,11-Edinburg,58,58
2017,Zapata,11-Edinburg,13,13
2017,Out of State,Out of State,24,24
2017,None Specified,None Specified,1,1
2016,Bailey,1-Lubbock,44,48
2016,Carson,1-Lubbock,10,10
2016,Castro,1-Lubbock,11,11
2016,Childress,1-Lubbock,21,22
2016,Cochran,1-Lubbock,91,109
2016,Collingsworth,1-Lubbock,14,14
2016,Crosby,1-Lubbock,51,51
2016,Dallam,1-Lubbock,11,11
2016,Deaf Smith,1-Lubbock,37,37
2016,Dickens,1-Lubbock,9,9
2016,Donley,1-Lubbock,16,16
2016,Floyd,1-Lubbock,51,55
2016,Garza,1-Lubbock,47,50
2016,Gray,1-Lubbock,41,41
2016,Hale,1-Lubbock,85,87
2016,Hall,1-Lubbock,8,8
2016,Hansford,1-Lubbock,9,9
2016,Hartley,1-Lubbock,4,5
2016,Hemphill,1-Lubbock,2,2
2016,Hockley,1-Lubbock,91,94
2016,Hutchinson,1-Lubbock,53,53
2016,Lamb,1-Lubbock,124,125
2016,Lubbock,1-Lubbock,1187,1231
2016,Lynn,1-Lubbock,31,32
2016,Moore,1-Lubbock,24,24
2016,Motley,1-Lubbock,6,6
2016,Ochiltree,1-Lubbock,9,9
2016,Oldham,1-Lubbock,4,4
2016,Parmer,1-Lubbock,16,16
2016,Potter,1-Lubbock,485,495
2016,Randall,1-Lubbock,236,240
2016,Roberts,1-Lubbock,1,1
2016,Swisher,1-Lubbock,24,24
2016,Terry,1-Lubbock,118,129
2016,Wheeler,1-Lubbock,10,10
2016,Yoakum,1-Lubbock,13,13
2016,Archer,2-Abilene,44,44
2016,Baylor,2-Abilene,29,29
2016,Brown,2-Abilene,136,137
2016,Callahan,2-Abilene,55,56
2016,Clay,2-Abilene,62,63
2016,Coleman,2-Abilene,38,39
2016,Comanche,2-Abilene,47,48
2016,Cottle,2-Abilene,7,7
2016,Eastland,2-Abilene,99,99
2016,Fisher,2-Abilene,9,9
2016,Foard,2-Abilene,13,13
2016,Hardeman,2-Abilene,19,19
2016,Haskell,2-Abilene,23,23
2016,Jack,2-Abilene,31,31
2016,Jones,2-Abilene,41,41
2016,Kent,2-Abilene,1,1
2016,Knox,2-Abilene,8,8
2016,Mitchell,2-Abilene,14,14
2016,Montague,2-Abilene,105,105
2016,Nolan,2-Abilene,63,66
2016,Runnels,2-Abilene,47,48
2016,Scurry,2-Abilene,35,37
2016,Shackelford,2-Abilene,9,9
2016,Stephens,2-Abilene,34,34
2016,Stonewall,2-Abilene,2,3
2016,Taylor,2-Abilene,670,678
2016,Throckmorton,2-Abilene,3,3
2016,Wichita,2-Abilene,810,826
2016,Wilbarger,2-Abilene,62,62
2016,Young,2-Abilene,118,118
2016,Collin,3-Arlington,264,270
2016,Cooke,3-Arlington,55,55
2016,Dallas,3-Arlington,2072,2095
2016,Denton,3-Arlington,307,308
2016,Ellis,3-Arlington,92,92
2016,Erath,3-Arlington,33,34
2016,Fannin,3-Arlington,73,73
2016,Grayson,3-Arlington,289,292
2016,Hood,3-Arlington,70,71
2016,Hunt,3-Arlington,174,176
2016,Johnson,3-Arlington,126,126
2016,Kaufman,3-Arlington,139,140
2016,Navarro,3-Arlington,88,88
2016,Palo Pinto,3-Arlington,53,53
2016,Parker,3-Arlington,112,114
2016,Rockwall,3-Arlington,23,24
2016,Somervell,3-Arlington,13,13
2016,Tarrant,3-Arlington,1499,1516
2016,Wise,3-Arlington,62,62
2016,Anderson,4-Tyler,162,166
2016,Bowie,4-Tyler,122,123
2016,Camp,4-Tyler,23,23
2016,Cass,4-Tyler,41,41
2016,Cherokee,4-Tyler,201,203
2016,Delta,4-Tyler,10,10
2016,Franklin,4-Tyler,30,30
2016,Gregg,4-Tyler,142,143
2016,Harrison,4-Tyler,68,69
2016,Henderson,4-Tyler,316,320
2016,Hopkins,4-Tyler,88,91
2016,Lamar,4-Tyler,93,94
2016,Marion,4-Tyler,20,20
2016,Morris,4-Tyler,26,26
2016,Panola,4-Tyler,47,48
2016,Rains,4-Tyler,29,30
2016,Red River,4-Tyler,27,27
2016,Rusk,4-Tyler,125,128
2016,Smith,4-Tyler,544,552
2016,Titus,4-Tyler,44,46
2016,Upshur,4-Tyler,80,81
2016,Van Zandt,4-Tyler,142,146
2016,Wood,4-Tyler,130,132
2016,Angelina,5-Beaumont,231,237
2016,Hardin,5-Beaumont,88,90
2016,Houston,5-Beaumont,79,79
2016,Jasper,5-Beaumont,121,127
2016,Jefferson,5-Beaumont,617,629
2016,Nacogdoches,5-Beaumont,184,193
2016,Newton,5-Beaumont,41,42
2016,Orange,5-Beaumont,91,92
2016,Polk,5-Beaumont,124,124
2016,Sabine,5-Beaumont,28,28
2016,San Augustine,5-Beaumont,38,38
2016,San Jacinto,5-Beaumont,95,96
2016,Shelby,5-Beaumont,90,93
2016,Trinity,5-Beaumont,84,86
2016,Tyler,5-Beaumont,46,47
2016,Austin,6-Houston,27,27
2016,Brazoria,6-Houston,299,300
2016,Chambers,6-Houston,52,52
2016,Colorado,6-Houston,20,20
2016,Fort Bend,6-Houston,244,246
2016,Galveston,6-Houston,512,517
2016,Harris,6-Houston,5615,5684
2016,Liberty,6-Houston,225,226
2016,Matagorda,6-Houston,78,78
2016,Montgomery,6-Houston,732,737
2016,Walker,6-Houston,89,90
2016,Waller,6-Houston,50,50
2016,Wharton,6-Houston,52,54
2016,Bastrop,7-Austin,66,67
2016,Bell,7-Austin,388,392
2016,Blanco,7-Austin,5,5
2016,Bosque,7-Austin,19,19
2016,Brazos,7-Austin,125,126
2016,Burleson,7-Austin,17,17
2016,Burnet,7-Austin,65,65
2016,Caldwell,7-Austin,67,68
2016,Coryell,7-Austin,53,53
2016,Falls,7-Austin,41,41
2016,Fayette,7-Austin,13,13
2016,Freestone,7-Austin,35,35
2016,Grimes,7-Austin,33,33
2016,Hamilton,7-Austin,6,6
2016,Hays,7-Austin,109,109
2016,Hill,7-Austin,63,65
2016,Lampasas,7-Austin,31,31
2016,Lee,7-Austin,10,10
2016,Leon,7-Austin,24,24
2016,Limestone,7-Austin,56,57
2016,Llano,7-Austin,32,32
2016,Madison,7-Austin,7,7
2016,McLennan,7-Austin,277,280
2016,Milam,7-Austin,18,18
2016,Mills,7-Austin,3,3
2016,Robertson,7-Austin,43,43
2016,San Saba,7-Austin,11,11
2016,Travis,7-Austin,720,720
2016,Washington,7-Austin,15,15
2016,Williamson,7-Austin,219,221
2016,Atascosa,8-San Antonio,48,48
2016,Bandera,8-San Antonio,54,56
2016,Bexar,8-San Antonio,2530,2547
2016,Calhoun,8-San Antonio,43,43
2016,Comal,8-San Antonio,80,80
2016,DeWitt,8-San Antonio,23,23
2016,Dimmit,8-San Antonio,13,13
2016,Edwards,8-San Antonio,1,1
2016,Frio,8-San Antonio,22,22
2016,Gillespie,8-San Antonio,27,27
2016,Goliad,8-San Antonio,10,10
2016,Gonzales,8-San Antonio,13,14
2016,Guadalupe,8-San Antonio,94,94
2016,Jackson,8-San Antonio,9,9
2016,Karnes,8-San Antonio,20,20
2016,Kendall,8-San Antonio,36,36
2016,Kerr,8-San Antonio,94,95
2016,La Salle,8-San Antonio,7,7
2016,Lavaca,8-San Antonio,6,6
2016,Maverick,8-San Antonio,54,54
2016,Medina,8-San Antonio,65,66
2016,Real,8-San Antonio,10,10
2016,Uvalde,8-San Antonio,14,14
2016,Val Verde,8-San Antonio,16,16
2016,Victoria,8-San Antonio,136,136
2016,Wilson,8-San Antonio,53,53
2016,Zavala,8-San Antonio,15,16
2016,Andrews,9-Midland,14,14
2016,Borden,9-Midland,2,2
2016,Coke,9-Midland,9,9
2016,Concho,9-Midland,9,12
2016,Crane,9-Midland,3,3
2016,Crockett,9-Midland,11,12
2016,Dawson,9-Midland,46,46
2016,Ector,9-Midland,305,306
2016,Gaines,9-Midland,6,6
2016,Howard,9-Midland,95,95
2016,Irion,9-Midland,3,3
2016,Kimble,9-Midland,32,36
2016,Martin,9-Midland,9,9
2016,Mason,9-Midland,11,12
2016,McCulloch,9-Midland,42,45
2016,Menard,9-Midland,9,10
2016,Midland,9-Midland,171,175
2016,Pecos,9-Midland,28,28
2016,Reagan,9-Midland,2,2
2016,Reeves,9-Midland,28,28
2016,Schleicher,9-Midland,14,16
2016,Sterling,9-Midland,3,3
2016,Sutton,9-Midland,13,13
2016,Tom Green,9-Midland,613,625
2016,Upton,9-Midland,2,2
2016,Ward,9-Midland,41,41
2016,Winkler,9-Midland,14,16
2016,Brewster,10-El Paso,25,25
2016,Culberson,10-El Paso,6,6
2016,El Paso,10-El Paso,1111,1123
